Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Population  by sex,Population  by sex,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Median age by sex,Median age by sex,Median age by sex,Labour force,Labour force by sex,Labour force by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Working population,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex
Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Male ,Female,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Both sexes,Male,Female,Labour force,Male,Female,Both sexes,Male,Female,Working population,Both sexes,Male,Female,Both sexes,Male,Female
431S,431 - 434,431 - 434,1892,832,1060,785,47.1,49.3,46.1,959,491,468,55.1,63,48.8,919,15500,18250,13500,16500,18250,15500
441,441,441,16310,7473,8837,846,41.5,42.6,40.4,9213,4577,4636,64.5,69.8,60.1,8609,17000,20000,15000,18000,20000,16000
442,442,442,6957,3228,3729,866,42.1,44.2,41.4,3479,1785,1694,57.6,64.6,51.7,3338,15000,17500,12500,16000,17500,14000
510,510,510,286232,135732,150500,902,42.4,41.8,42.8,149014,81651,67363,58.4,68.3,49.7,138096,13430,15000,11500,13500,15000,12000
511,511,511,5878,2800,3078,910,41.9,43.1,40.4,3091,1613,1478,60.8,68.3,54.4,3000,15500,16500,12000,16000,16500,16000
512,512,512,7544,3600,3944,913,44.9,46.1,43.9,3706,1944,1762,55.8,63.2,49.4,3570,13400,16000,10250,15000,16000,12000
513,513,513,1844,857,987,868,48.5,48.3,48.6,897,462,435,54.2,58.5,50.3,877,13500,15000,11250,15000,15000,15000
514,514,514,3779,1795,1984,905,47.2,47.9,47,1493,806,687,45.5,54.9,37.9,1392,15000,17000,12000,17000,17000,15000
515,515,515,19550,9362,10188,919,38.5,38.7,38.2,9289,5173,4116,59.1,69.6,49.7,8793,14000,15500,11400,14500,15500,12250
516,516,516,2973,1362,1611,845,43.8,45.7,41.4,1440,695,745,58.6,63.9,54.3,1410,20000,20000,13500,20000,20000,15000
517,517,517,1115,602,513,1173,43.5,43.1,43.9,553,327,226,59.3,67.6,50.3,541,12000,13500,8050,12000,13500,10250
518,518,518,2124,1011,1113,908,38.1,40.8,37.4,1129,572,557,62.7,67.5,58.4,1087,16500,19000,14000,18000,19000,18000
519,519,519,13288,6009,7279,826,41.4,41.3,41.4,7532,3756,3776,64.8,72.6,58.5,7274,16000,20000,12000,20000,20000,18000
521,521,521,9253,4460,4793,931,41.6,44.2,40.3,5012,2623,2389,62.6,67.4,57.9,4879,15000,17000,10600,15500,17000,15000
522,522,522,19615,9256,10359,894,41.6,43.2,40.8,10269,5404,4865,61,68.1,54.7,9781,15000,17500,12000,15700,17500,14000
523,523,523,7090,3266,3824,854,39.8,43.3,38.1,3587,1808,1779,59,64.3,54.4,3366,15500,18000,13000,17000,18000,15500
524,524,524,65198,30032,35166,854,41.3,41.5,41.2,34958,17865,17093,61,70,53.8,33462,15500,18000,13500,17000,18000,15500
525,525,525,1259,599,660,908,41.6,47,39.5,663,367,296,61.1,69.4,53.2,598,14500,15000,12000,14500,15000,12000
526,526,526,4046,1967,2079,946,41.9,42.3,41.4,1975,1095,880,58.7,65.6,51.8,1841,18500,19500,15300,20000,19500,22950
527,527,527,67989,30921,37068,834,42.8,42.1,43.3,36197,18793,17404,59.8,69.3,52.1,34101,14270,15520,12000,15000,15520,13000
528,528,528,5819,2695,3124,863,40.8,42.6,40,2761,1374,1387,58.1,65.3,52.3,2633,17000,20000,13500,19500,20000,15000
529,529,529,21004,9663,11341,852,38.1,38.2,37.9,12060,5954,6106,67.4,75,61.4,11626,20000,25000,16000,22000,25000,20000
531,531,531,15327,7011,8316,843,43.1,44.3,42.1,7903,4137,3766,58.9,66.8,52.1,7362,15500,20000,12000,18500,20000,16500
532,532,532,9968,4531,5437,833,42.1,44.5,39.2,4824,2425,2399,57.6,63.8,52.5,4563,15500,17200,11920,17500,17200,17500
533,533,533,4734,2206,2528,873,41.5,43.9,41.2,2418,1213,1205,59,65.8,53.5,2324,15000,18000,11000,17500,18000,16000
541,541,541,18874,7840,11034,711,46.1,51.3,43.4,9858,4392,5466,57.6,63.4,53.6,9651,20000,30000,12000,26250,30000,24300
542,542,542,12263,5296,6967,760,45.4,48.4,43,6216,3045,3171,57.3,67.3,50.2,6034,18000,28750,9800,21250,28750,19000
543S,543 and 546,543 及 546,3801,1612,2189,736,43.6,46,41.9,2120,995,1125,64.2,73.9,57.5,1989,16900,21250,10000,20000,21250,20000
544,544,544,3077,1353,1724,785,49.3,51.7,46.5,1243,584,659,45.5,49.6,42.4,1189,15000,20000,7600,19500,20000,17500
545,545,545,2133,957,1176,814,52,58.3,46.1,878,490,388,47.7,56.9,39.6,830,11740,15000,9250,12000,15000,9500
547,547,547,12044,5586,6458,865,45.6,48.6,42.7,6002,3100,2902,56,63.1,50,5791,15000,17500,9800,16000,18000,15000
